sample,fastq_1,fastq_2,strandedness
rheumatoid_arthritis_tissue_39,fastq_files/rheumatoid_arthritis_tissue_39_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_39_2.fastq.gz,auto
rheumatoid_arthritis_tissue_51,fastq_files/rheumatoid_arthritis_tissue_51_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_51_2.fastq.gz,auto
rheumatoid_arthritis_tissue_53,fastq_files/rheumatoid_arthritis_tissue_53_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_53_2.fastq.gz,auto
rheumatoid_arthritis_tissue_40,fastq_files/rheumatoid_arthritis_tissue_40_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_40_2.fastq.gz,auto
rheumatoid_arthritis_tissue_57,fastq_files/rheumatoid_arthritis_tissue_57_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_57_2.fastq.gz,auto
rheumatoid_arthritis_tissue_41,fastq_files/rheumatoid_arthritis_tissue_41_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_41_2.fastq.gz,auto
rheumatoid_arthritis_tissue_62,fastq_files/rheumatoid_arthritis_tissue_62_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_62_2.fastq.gz,auto
rheumatoid_arthritis_tissue_45,fastq_files/rheumatoid_arthritis_tissue_45_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_45_2.fastq.gz,auto
rheumatoid_arthritis_tissue_64,fastq_files/rheumatoid_arthritis_tissue_64_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_64_2.fastq.gz,auto
rheumatoid_arthritis_tissue_69,fastq_files/rheumatoid_arthritis_tissue_69_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_69_2.fastq.gz,auto
rheumatoid_arthritis_tissue_49,fastq_files/rheumatoid_arthritis_tissue_49_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_49_2.fastq.gz,auto
rheumatoid_arthritis_tissue_70,fastq_files/rheumatoid_arthritis_tissue_70_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_70_2.fastq.gz,auto
rheumatoid_arthritis_tissue_50,fastq_files/rheumatoid_arthritis_tissue_50_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_50_2.fastq.gz,auto
rheumatoid_arthritis_tissue_73,fastq_files/rheumatoid_arthritis_tissue_73_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_73_2.fastq.gz,auto
rheumatoid_arthritis_tissue_56,fastq_files/rheumatoid_arthritis_tissue_56_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_56_2.fastq.gz,auto
rheumatoid_arthritis_tissue_80,fastq_files/rheumatoid_arthritis_tissue_80_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_80_2.fastq.gz,auto
rheumatoid_arthritis_tissue_58,fastq_files/rheumatoid_arthritis_tissue_58_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_58_2.fastq.gz,auto
rheumatoid_arthritis_tissue_81,fastq_files/rheumatoid_arthritis_tissue_81_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_81_2.fastq.gz,auto
rheumatoid_arthritis_tissue_85,fastq_files/rheumatoid_arthritis_tissue_85_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_85_2.fastq.gz,auto
rheumatoid_arthritis_tissue_66,fastq_files/rheumatoid_arthritis_tissue_66_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_66_2.fastq.gz,auto
rheumatoid_arthritis_tissue_68,fastq_files/rheumatoid_arthritis_tissue_68_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_68_2.fastq.gz,auto
rheumatoid_arthritis_tissue_86,fastq_files/rheumatoid_arthritis_tissue_86_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_86_2.fastq.gz,auto
rheumatoid_arthritis_tissue_72,fastq_files/rheumatoid_arthritis_tissue_72_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_72_2.fastq.gz,auto
rheumatoid_arthritis_tissue_98,fastq_files/rheumatoid_arthritis_tissue_98_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_98_2.fastq.gz,auto
rheumatoid_arthritis_tissue_99,fastq_files/rheumatoid_arthritis_tissue_99_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_99_2.fastq.gz,auto
rheumatoid_arthritis_tissue_78,fastq_files/rheumatoid_arthritis_tissue_78_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_78_2.fastq.gz,auto
rheumatoid_arthritis_tissue_102,fastq_files/rheumatoid_arthritis_tissue_102_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_102_2.fastq.gz,auto
rheumatoid_arthritis_tissue_79,fastq_files/rheumatoid_arthritis_tissue_79_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_79_2.fastq.gz,auto
